config,timestep,unmet_need_this_step,total_depot_stock_remaining,max_shelter_urgency
optimizer_baseline,0,0.0,617.82,0.0
optimizer_baseline,1,0.0,559.65,0.0
optimizer_baseline,2,0.0,501.49,0.0
optimizer_baseline,3,0.0,443.33,0.07
optimizer_baseline,4,0.0,385.16,0.27
optimizer_baseline,5,0.0,327.0,0.47
optimizer_baseline,6,0.0,268.83,0.67
optimizer_baseline,7,0.0,210.67,0.87
optimizer_baseline,8,6.14,152.51,1.0
optimizer_baseline,9,7.94,94.34,1.0
optimizer_baseline,10,9.0,36.18,1.0
optimizer_baseline,11,14.95,0.0,1.0
optimizer_baseline,12,39.49,0.0,1.0
optimizer_baseline,13,41.28,0.0,1.0
optimizer_baseline,14,47.82,0.0,1.0
local_everywhere,0,0.0,617.82,0.0
local_everywhere,1,0.0,559.65,0.0
local_everywhere,2,0.0,501.49,0.0
local_everywhere,3,0.0,443.33,0.07
local_everywhere,4,0.0,385.16,0.27
local_everywhere,5,0.0,327.0,0.47
local_everywhere,6,5.66,295.0,0.67
local_everywhere,7,6.6,236.83,0.87
local_everywhere,8,16.9,235.83,1.0
local_everywhere,9,14.63,177.67,1.0
local_everywhere,10,27.62,119.51,1.0
local_everywhere,11,29.4,61.34,1.0
local_everywhere,12,33.13,13.0,1.0
local_everywhere,13,34.3,0.0,1.0
local_everywhere,14,41.58,0.0,1.0
haiku_everywhere,0,0.0,617.82,0.0
haiku_everywhere,1,0.0,617.82,0.0
haiku_everywhere,2,0.0,559.65,0.0
haiku_everywhere,3,0.0,559.65,0.07
haiku_everywhere,4,0.0,501.49,0.27
haiku_everywhere,5,0.0,443.33,0.47
haiku_everywhere,6,0.0,385.17,0.67
haiku_everywhere,7,0.0,327.01,0.87
haiku_everywhere,8,0.39,268.85,1.0
haiku_everywhere,9,0.39,210.69,1.0
haiku_everywhere,10,6.88,152.53,1.0
haiku_everywhere,11,11.37,94.37,1.0
haiku_everywhere,12,24.26,36.2,1.0
haiku_everywhere,13,19.79,2.22,1.0
haiku_everywhere,14,40.53,0.02,1.0
sonnet_everywhere,0,0.0,675.98,0.0
sonnet_everywhere,1,0.0,675.98,0.0
sonnet_everywhere,2,0.0,675.98,0.0
sonnet_everywhere,3,0.0,675.98,0.07
sonnet_everywhere,4,0.0,675.98,0.27
sonnet_everywhere,5,0.0,675.98,0.47
sonnet_everywhere,6,6.62,675.98,0.67
sonnet_everywhere,7,8.6,675.98,0.87
sonnet_everywhere,8,17.62,675.98,1.0
sonnet_everywhere,9,24.5,675.98,1.0
sonnet_everywhere,10,27.62,675.98,1.0
sonnet_everywhere,11,29.4,675.98,1.0
sonnet_everywhere,12,33.13,675.98,1.0
sonnet_everywhere,13,34.3,675.98,1.0
sonnet_everywhere,14,41.58,675.98,1.0
local_parsing_sonnet_negotiation,0,0.0,617.82,0.0
local_parsing_sonnet_negotiation,1,0.0,617.82,0.0
local_parsing_sonnet_negotiation,2,0.0,617.82,0.0
local_parsing_sonnet_negotiation,3,0.0,559.65,0.07
local_parsing_sonnet_negotiation,4,0.0,509.65,0.27
local_parsing_sonnet_negotiation,5,0.0,509.65,0.47
local_parsing_sonnet_negotiation,6,0.0,451.49,0.67
local_parsing_sonnet_negotiation,7,8.6,451.49,0.87
local_parsing_sonnet_negotiation,8,17.62,451.49,1.0
local_parsing_sonnet_negotiation,9,24.5,451.49,1.0
local_parsing_sonnet_negotiation,10,27.62,451.49,1.0
local_parsing_sonnet_negotiation,11,29.4,451.49,1.0
local_parsing_sonnet_negotiation,12,33.13,451.49,1.0
local_parsing_sonnet_negotiation,13,34.3,451.49,1.0
local_parsing_sonnet_negotiation,14,41.58,451.49,1.0
local_parsing_haiku_negotiation,0,0.0,675.98,0.0
local_parsing_haiku_negotiation,1,0.0,675.98,0.0
local_parsing_haiku_negotiation,2,0.0,675.98,0.0
local_parsing_haiku_negotiation,3,0.0,675.98,0.07
local_parsing_haiku_negotiation,4,0.0,617.82,0.27
local_parsing_haiku_negotiation,5,0.0,559.66,0.47
local_parsing_haiku_negotiation,6,0.0,501.5,0.67
local_parsing_haiku_negotiation,7,0.0,443.34,0.87
local_parsing_haiku_negotiation,8,0.0,385.18,1.0
local_parsing_haiku_negotiation,9,0.0,327.02,1.0
local_parsing_haiku_negotiation,10,0.0,268.86,1.0
local_parsing_haiku_negotiation,11,2.7,210.7,1.0
local_parsing_haiku_negotiation,12,9.87,152.54,1.0
local_parsing_haiku_negotiation,13,14.08,94.37,1.0
local_parsing_haiku_negotiation,14,31.16,36.21,1.0
