config,timestep,total_available,total_delivered,delivered_pct_of_available,pct_shelters_critical,unmet_need_this_step
optimizer_baseline,0,1355.89,149.12,11.0,90.0,7945.55
optimizer_baseline,1,1206.77,149.12,12.4,100.0,9503.48
optimizer_baseline,2,1057.65,149.12,14.1,100.0,10212.27
optimizer_baseline,3,908.53,149.12,16.4,100.0,10352.32
optimizer_baseline,4,759.42,149.12,19.6,100.0,10484.3
optimizer_baseline,5,1288.24,149.12,11.6,100.0,10525.62
optimizer_baseline,6,1139.12,149.12,13.1,100.0,10482.77
optimizer_baseline,7,990.01,149.12,15.1,100.0,10735.16
optimizer_baseline,8,840.89,149.12,17.7,100.0,10838.39
optimizer_baseline,9,684.43,149.12,21.8,100.0,10896.41
optimizer_baseline,10,959.51,149.12,15.5,100.0,13059.41
optimizer_baseline,11,798.48,149.12,18.7,100.0,12944.18
optimizer_baseline,12,616.9,149.12,24.2,100.0,13098.7
optimizer_baseline,13,444.39,149.12,33.6,100.0,13286.73
optimizer_baseline,14,280.51,149.12,53.2,100.0,13473.16
optimizer_baseline,15,328.2,149.12,45.4,100.0,13683.41
optimizer_baseline,16,170.13,149.12,87.6,100.0,14024.54
optimizer_baseline,17,19.96,19.96,100.0,100.0,14362.55
optimizer_baseline,18,0.0,0.0,0.0,100.0,14487.91
optimizer_baseline,19,0.0,0.0,0.0,100.0,14565.64
optimizer_baseline,20,203.38,149.12,73.3,100.0,14124.15
optimizer_baseline,21,51.55,51.55,100.0,100.0,14521.46
optimizer_baseline,22,0.0,0.0,0.0,100.0,14950.74
optimizer_baseline,23,0.0,0.0,0.0,100.0,15154.86
local_everywhere,0,1355.89,298.24,22.0,90.0,7865.35
local_everywhere,1,1057.65,298.24,28.2,100.0,9233.32
local_everywhere,2,759.42,298.24,39.3,100.0,9829.29
local_everywhere,3,461.18,298.24,64.7,100.0,10066.87
local_everywhere,4,162.95,95.39,58.5,100.0,11001.94
local_everywhere,5,745.49,298.24,40.0,100.0,10211.22
local_everywhere,6,447.26,225.8,50.5,100.0,10565.05
local_everywhere,7,221.46,154.12,69.6,100.0,11019.74
local_everywhere,8,67.34,0.0,0.0,100.0,11819.15
local_everywhere,9,63.97,0.0,0.0,100.0,11860.57
local_everywhere,10,491.95,205.42,41.8,100.0,13447.19
local_everywhere,11,281.02,164.0,58.4,100.0,13679.1
local_everywhere,12,111.17,25.83,23.2,100.0,14362.89
local_everywhere,13,81.07,6.19,7.6,100.0,14465.71
local_everywhere,14,71.14,71.14,100.0,100.0,14223.38
local_everywhere,15,203.38,162.93,80.1,100.0,13967.56
local_everywhere,16,38.43,2.59,6.7,100.0,14788.62
local_everywhere,17,34.05,30.0,88.1,100.0,14725.28
local_everywhere,18,3.85,3.85,100.0,100.0,14924.02
local_everywhere,19,0.0,0.0,0.0,100.0,15037.08
local_everywhere,20,203.38,153.93,75.7,100.0,14468.54
local_everywhere,21,46.98,11.14,23.7,100.0,15117.58
local_everywhere,22,34.05,0.0,0.0,100.0,15271.89
local_everywhere,23,32.35,0.0,0.0,100.0,15376.05
haiku_everywhere,0,1355.89,298.24,22.0,90.0,7827.8
haiku_everywhere,1,1057.65,298.24,28.2,100.0,9107.24
haiku_everywhere,2,759.42,298.24,39.3,100.0,9848.38
haiku_everywhere,3,461.18,298.24,64.7,100.0,10081.32
haiku_everywhere,4,162.95,162.94,100.0,100.0,10736.15
haiku_everywhere,5,677.95,298.24,44.0,100.0,10238.8
haiku_everywhere,6,379.72,298.24,78.5,100.0,10345.69
haiku_everywhere,7,81.48,81.46,100.0,100.0,11393.17
haiku_everywhere,8,0.02,0.0,10.0,100.0,11819.13
haiku_everywhere,9,0.02,0.02,100.0,100.0,11860.49
haiku_everywhere,10,431.18,244.25,56.6,100.0,13283.89
haiku_everywhere,11,186.4,159.2,85.4,100.0,13723.63
haiku_everywhere,12,25.84,25.83,100.0,100.0,14357.66
haiku_everywhere,13,0.01,0.0,10.0,100.0,14491.85
haiku_everywhere,14,0.01,0.0,10.0,100.0,14541.72
haiku_everywhere,15,203.39,193.54,95.2,100.0,13841.88
haiku_everywhere,16,9.36,9.36,100.0,100.0,14759.37
haiku_everywhere,17,0.0,0.0,100.0,100.0,14871.14
haiku_everywhere,18,0.0,0.0,0.0,100.0,14944.62
haiku_everywhere,19,0.0,0.0,0.0,100.0,15037.08
haiku_everywhere,20,203.38,193.54,95.2,100.0,14283.55
haiku_everywhere,21,9.35,9.3,99.5,100.0,15127.15
haiku_everywhere,22,0.05,0.0,10.0,100.0,15271.87
haiku_everywhere,23,0.04,0.04,99.9,100.0,15375.87
local_parsing_haiku_negotiation,0,1355.89,298.24,22.0,90.0,7852.29
local_parsing_haiku_negotiation,1,1057.65,298.24,28.2,100.0,9132.58
local_parsing_haiku_negotiation,2,759.42,298.24,39.3,100.0,9876.4
local_parsing_haiku_negotiation,3,461.18,298.24,64.7,100.0,10095.3
local_parsing_haiku_negotiation,4,162.95,162.17,99.5,100.0,10739.17
local_parsing_haiku_negotiation,5,678.72,298.24,43.9,100.0,10238.8
local_parsing_haiku_negotiation,6,380.49,298.24,78.4,100.0,10336.89
local_parsing_haiku_negotiation,7,82.25,82.21,99.9,100.0,11390.14
local_parsing_haiku_negotiation,8,0.04,0.01,12.2,100.0,11819.13
local_parsing_haiku_negotiation,9,0.04,0.0,5.2,100.0,11860.56
local_parsing_haiku_negotiation,10,431.22,244.25,56.6,100.0,13283.89
local_parsing_haiku_negotiation,11,186.44,159.2,85.4,100.0,13715.41
local_parsing_haiku_negotiation,12,25.87,25.86,100.0,100.0,14357.51
local_parsing_haiku_negotiation,13,0.01,0.0,10.0,100.0,14491.85
local_parsing_haiku_negotiation,14,0.01,0.0,10.0,100.0,14541.72
local_parsing_haiku_negotiation,15,203.39,203.27,99.9,100.0,13796.51
local_parsing_haiku_negotiation,16,0.11,0.1,96.7,100.0,14799.53
local_parsing_haiku_negotiation,17,0.0,0.0,100.0,100.0,14871.12
local_parsing_haiku_negotiation,18,0.0,0.0,0.0,100.0,14944.62
local_parsing_haiku_negotiation,19,0.0,0.0,0.0,100.0,15037.08
local_parsing_haiku_negotiation,20,203.38,193.54,95.2,100.0,14283.55
local_parsing_haiku_negotiation,21,9.35,9.3,99.5,100.0,15127.15
local_parsing_haiku_negotiation,22,0.05,0.0,10.0,100.0,15271.87
local_parsing_haiku_negotiation,23,0.04,0.04,99.9,100.0,15375.87
