config,cost_depot_negotiation,cost_dispatcher,cost_field_report,error,optimality_gap_pct,repeat,scenario,status,total_cost_usd,unmet_need,wall_time_s
local_everywhere,0.0,0.0,0.0,,63.241105,0,flood:42,OK,0.0,170.07867,137.26164
local_everywhere,0.0,0.0,0.0,,63.241105,1,flood:42,OK,0.0,170.07867,140.254737
local_everywhere,0.0,0.0,0.0,,63.241105,2,flood:42,OK,0.0,170.07867,158.37333
local_everywhere,0.0,0.0,0.0,,63.241105,3,flood:42,OK,0.0,170.07867,160.262812
local_everywhere,0.0,0.0,0.0,,63.241105,4,flood:42,OK,0.0,170.07867,169.856925
local_everywhere,0.0,0.0,0.0,,14.811349,0,wildfire:7,OK,0.0,1895.293253,175.379981
local_everywhere,0.0,0.0,0.0,,14.811349,1,wildfire:7,OK,0.0,1895.293253,173.219461
local_everywhere,0.0,0.0,0.0,,14.811349,2,wildfire:7,OK,0.0,1895.293253,174.276001
local_everywhere,0.0,0.0,0.0,,14.811349,3,wildfire:7,OK,0.0,1895.293253,180.227805
local_everywhere,0.0,0.0,0.0,,14.811349,4,wildfire:7,OK,0.0,1895.293253,178.618004
local_everywhere,0.0,0.0,0.0,,11.531705,0,earthquake:99,OK,0.0,1652.543692,187.010759
local_everywhere,0.0,0.0,0.0,,11.531705,1,earthquake:99,OK,0.0,1652.543692,184.696566
local_everywhere,0.0,0.0,0.0,,11.531705,2,earthquake:99,OK,0.0,1652.543692,184.216025
local_everywhere,0.0,0.0,0.0,,11.531705,3,earthquake:99,OK,0.0,1652.543692,189.893507
local_everywhere,0.0,0.0,0.0,,11.531705,4,earthquake:99,OK,0.0,1652.543692,187.587299
haiku_everywhere,0.01746,0.013935,0.01787,,2.5378,0,flood:42,OK,0.049265,106.832729,83.452468
haiku_everywhere,0.017496,0.014346,0.01787,,18.713835,1,flood:42,OK,0.049712,123.686318,85.095499
haiku_everywhere,0.017414,0.014322,0.01787,,-6.939641,2,flood:42,OK,0.049606,96.958313,91.854352
haiku_everywhere,0.017116,0.014351,0.01787,,22.870508,3,flood:42,OK,0.049337,128.017099,88.512734
haiku_everywhere,0.017049,0.013587,0.01787,,-2.530603,4,flood:42,OK,0.048506,101.552029,98.794883
haiku_everywhere,0.018478,0.020536,0.018012,,8.161603,0,wildfire:7,OK,0.057026,1785.519973,118.669722
haiku_everywhere,0.018706,0.020411,0.018012,,7.689678,1,wildfire:7,OK,0.057129,1777.729481,102.307882
haiku_everywhere,0.018702,0.020158,0.018012,,3.961841,2,wildfire:7,OK,0.056872,1716.190744,109.665223
haiku_everywhere,0.018503,0.020145,0.018012,,6.32642,3,wildfire:7,OK,0.05666,1755.224968,98.657316
haiku_everywhere,0.018352,0.020518,0.018012,,8.294398,4,wildfire:7,OK,0.056882,1787.712137,102.231969
haiku_everywhere,0.018785,0.018129,0.017996,,-6.064055,0,earthquake:99,OK,0.05491,1391.830715,96.766237
haiku_everywhere,0.019325,0.019262,0.017996,,-6.702461,1,earthquake:99,OK,0.056583,1382.371579,90.213471
haiku_everywhere,0.018905,0.018613,0.017996,,-7.023064,2,earthquake:99,OK,0.055514,1377.621261,94.639321
haiku_everywhere,0.019135,0.017936,0.017996,,-6.628918,3,earthquake:99,OK,0.055067,1383.461245,101.972532
haiku_everywhere,0.019145,0.01875,0.017996,,-6.465532,4,earthquake:99,OK,0.055891,1385.882109,95.643906
local_parsing_haiku_negotiation,0.016866,0.0,0.0,,-17.758142,0,flood:42,OK,0.016866,85.686665,116.875735
local_parsing_haiku_negotiation,0.017835,0.0,0.0,,6.266304,1,flood:42,OK,0.017835,110.717405,117.909766
local_parsing_haiku_negotiation,0.016925,0.0,0.0,,-10.90485,2,flood:42,OK,0.016925,92.827016,117.609822
local_parsing_haiku_negotiation,0.016885,0.0,0.0,,-16.537242,3,flood:42,OK,0.016885,86.958704,126.988751
local_parsing_haiku_negotiation,0.016906,0.0,0.0,,-18.212098,4,flood:42,OK,0.016906,85.213694,128.751759
local_parsing_haiku_negotiation,0.018536,0.0,0.0,,10.82108,0,wildfire:7,OK,0.018536,1829.422325,137.617728
local_parsing_haiku_negotiation,0.018576,0.0,0.0,,11.22348,1,wildfire:7,OK,0.018576,1836.065091,144.532824
local_parsing_haiku_negotiation,0.018475,0.0,0.0,,11.414916,2,wildfire:7,OK,0.018475,1839.225299,152.620067
local_parsing_haiku_negotiation,0.01843,0.0,0.0,,10.865542,3,wildfire:7,OK,0.01843,1830.156301,147.432869
local_parsing_haiku_negotiation,0.018552,0.0,0.0,,10.664369,4,wildfire:7,OK,0.018552,1826.835347,144.287565
local_parsing_haiku_negotiation,0.018915,0.0,0.0,,-5.905104,0,earthquake:99,OK,0.018915,1394.185858,146.097178
local_parsing_haiku_negotiation,0.018945,0.0,0.0,,-5.534133,1,earthquake:99,OK,0.018945,1399.682468,154.46193
local_parsing_haiku_negotiation,0.018925,0.0,0.0,,-5.324688,2,earthquake:99,OK,0.018925,1402.785779,152.282067
local_parsing_haiku_negotiation,0.019115,0.0,0.0,,-6.094899,3,earthquake:99,OK,0.019115,1391.373706,150.157355
local_parsing_haiku_negotiation,0.019105,0.0,0.0,,-5.21285,4,earthquake:99,OK,0.019105,1404.442855,156.600724
