config,disaster_type,timestep,fire_radius,blocked_routes_count,resupply_status,unmet_need_this_step,wasted_stock_this_step,total_depot_stock_remaining,max_shelter_urgency
optimizer_baseline,wildfire,0,0.6,0,,0.0,0.0,590.1,0.31
optimizer_baseline,wildfire,1,1.2,0,D1:not_due,0.0,0.0,524.11,0.51
optimizer_baseline,wildfire,2,1.8,0,D1:not_due,0.0,0.0,458.12,0.71
optimizer_baseline,wildfire,3,2.4,1,D1:not_due,0.0,0.0,392.13,0.91
optimizer_baseline,wildfire,4,3.0,3,D1:not_due,0.0,0.0,306.54,1.0
optimizer_baseline,wildfire,5,3.6,5,D1:airdrop,0.0,0.0,323.64,1.0
optimizer_baseline,wildfire,6,4.2,6,D1:not_due,28.57,0.0,241.47,1.0
optimizer_baseline,wildfire,7,4.8,8,D1:not_due,117.49,0.0,163.41,1.0
optimizer_baseline,wildfire,8,5.4,10,D1:not_due,201.86,0.0,89.25,1.0
optimizer_baseline,wildfire,9,6.0,12,D1:not_due,201.35,0.0,18.8,1.0
optimizer_baseline,wildfire,10,6.6,14,D1:airdrop,236.58,0.0,50.28,1.0
optimizer_baseline,wildfire,11,7.2,16,D1:not_due,366.7,0.0,0.0,1.0
optimizer_baseline,wildfire,12,7.8,18,D1:not_due,535.14,0.0,0.0,1.0
optimizer_baseline,wildfire,13,8.4,20,D1:not_due,563.9,0.0,0.0,1.0
optimizer_baseline,wildfire,14,9.0,22,D1:not_due,599.12,0.0,0.0,1.0
local_everywhere,wildfire,0,0.6,0,,0.0,0.0,590.1,0.31
local_everywhere,wildfire,1,1.2,1,D1:not_due,17.81,0.0,524.11,0.51
local_everywhere,wildfire,2,1.8,3,D1:not_due,25.76,0.0,471.11,0.71
local_everywhere,wildfire,3,2.4,4,D1:not_due,60.89,0.0,405.12,0.91
local_everywhere,wildfire,4,3.0,6,D1:not_due,48.3,0.0,318.88,1.0
local_everywhere,wildfire,5,3.6,8,D1:airdrop,58.96,0.0,353.35,1.0
local_everywhere,wildfire,6,4.2,9,D1:not_due,121.1,0.0,298.68,1.0
local_everywhere,wildfire,7,4.8,10,D1:not_due,164.55,0.0,260.75,1.0
local_everywhere,wildfire,8,5.4,12,D1:not_due,203.76,0.0,206.71,1.0
local_everywhere,wildfire,9,6.0,14,D1:not_due,321.07,0.0,171.92,1.0
local_everywhere,wildfire,10,6.6,16,D1:airdrop,396.7,0.0,240.34,1.0
local_everywhere,wildfire,11,7.2,17,D1:not_due,424.96,0.0,203.46,1.0
local_everywhere,wildfire,12,7.8,19,D1:not_due,547.57,0.0,188.49,1.0
local_everywhere,wildfire,13,8.4,21,D1:not_due,448.47,0.0,143.07,1.0
local_everywhere,wildfire,14,9.0,23,D1:not_due,489.3,0.0,106.91,1.0
local_parsing_haiku_negotiation,wildfire,0,0.6,0,,0.0,0.0,590.1,0.31
local_parsing_haiku_negotiation,wildfire,1,1.2,1,D1:not_due,21.05,0.0,550.1,0.51
local_parsing_haiku_negotiation,wildfire,2,1.8,3,D1:not_due,0.0,0.0,484.11,0.71
local_parsing_haiku_negotiation,wildfire,3,2.4,4,D1:not_due,1.1,0.0,418.12,0.91
local_parsing_haiku_negotiation,wildfire,4,3.0,6,D1:not_due,37.26,0.0,336.12,1.0
local_parsing_haiku_negotiation,wildfire,5,3.6,8,D1:airdrop,11.58,0.0,351.74,1.0
local_parsing_haiku_negotiation,wildfire,6,4.2,9,D1:not_due,55.87,0.0,278.46,1.0
local_parsing_haiku_negotiation,wildfire,7,4.8,10,D1:not_due,105.95,0.0,216.83,1.0
local_parsing_haiku_negotiation,wildfire,8,5.4,12,D1:not_due,160.67,0.0,140.0,1.0
local_parsing_haiku_negotiation,wildfire,9,6.0,14,D1:not_due,224.28,0.0,67.01,1.0
local_parsing_haiku_negotiation,wildfire,10,6.6,16,D1:airdrop,267.26,0.0,96.09,1.0
local_parsing_haiku_negotiation,wildfire,11,7.2,17,D1:not_due,278.82,0.0,26.28,1.0
local_parsing_haiku_negotiation,wildfire,12,7.8,19,D1:not_due,480.08,0.0,2.27,1.0
local_parsing_haiku_negotiation,wildfire,13,8.4,21,D1:not_due,596.28,0.0,0.0,1.0
local_parsing_haiku_negotiation,wildfire,14,9.0,23,D1:not_due,613.62,0.0,0.0,1.0
